"[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2026","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","",""
"201","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","DD","CY30FS","Dây Franco 0.3","610Y","44-46","20","71.00","","","","","13","Đã giao: 13 sợi ngày 12/06/2025","CHƯA HOÀN TẤT","","","",""
"202","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","DD","CY35FS","Dây Franco 0.35","610Y","44-46","10","41.00","","","","","16","Đã giao đủ : dư 6 sợi","HOÀN TẤT","","","",""
"203","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","DD","CY50FS","Dây Franco 0.5","610Y","46-48","5","45.00","","","","","6","Đã giao đủ : dư 1 sợi","HOÀN TẤT","","","",""
"204","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","DD","BY40FS","Lắc Franco 0.4","610Y","15","5","11.00","","","","","11","Đã giao đủ : dư 1 sợi","HOÀN TẤT","","","",""
"205","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","DD","BY70FS","Lắc Franco 0.7","610Y","16","5","31.35","","","","","","","NGƯNG SX","","","",""
"206","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","CBY4","Dây Bi : Size 4.0mm Khắc Chữ S Cong","610Y","45-47","2","34.00","","","","","","","NGƯNG SX","","","",""
"207","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","CBY5","Dây Bi : Size 5.0mm Khắc Dưa Hấu","610Y","45-47","2","44.30","","","","","","","NGƯNG SX","","","",""
"208","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","BBY4","Dây Bi : Size 4.0mm Khắc Dưa Hấu","610Y","15","5","27.60","","","","","","","NGƯNG SX","","","",""
"209","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","BBY6","Dây Bi : Size 6.0mm Chữ S Cong","610Y","15","4","29.48","","","","","","","NGƯNG SX","","","",""
"210","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY3-01","Vòng Bi 1 Tầng
Size 3.0mm Khắc Chữ S Cong","610Y","48-50-52","5","27.00","","","","","","","NGƯNG SX","","","",""
"211","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY3-01","Vòng Bi 1 Tầng
Size 3.0mm Khắc Chữ Xoáy","610Y","48-50-52","5","27.00","","","","","","","NGƯNG SX","","","",""
"212","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY4-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Dưa Hấu","610Y","48-50-52","5","32.80","","","","","","","NGƯNG SX","","","",""
"213","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY4-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Ngang Full","610Y","48-50-52","5","32.80","","","","","","","NGƯNG SX","","","",""
"214","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY6-01","Vòng Bi 1 Tầng
Size 6.0mm Khắc Dưa Hấu","610Y","50-52","3","25.89","","","","","","","NGƯNG SX","","","",""
"215","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","GBY6-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Chữ S Cong","610Y","50-52","3","25.89","","","","","","","NGƯNG SX","","","",""
"216","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","PK610YKGN","Phụ kiện khóa giọt nước","610Y","","20","7.40","","","","","","","NGƯNG SX","","","",""
"217","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","PK610YKCC","Phụ kiện khóa càng cua","610Y","","20","12.20","","","","","","","NGƯNG SX","","","",""
"218","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","PK680YKGN","Phụ kiện khóa giọt nước","680Y","","20","7.40","","","","","","","NGƯNG SX","","","",""
"219","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/11]","BB","PK680YKCC","Phụ kiện khóa càng cua","680Y","","20","12.20","","","","","","","NGƯNG SX","","","",""
"220","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW40CA4","Dây cong khế 0.4","750W","44-46","5","11.00","","","","","6","Đã giao đủ : (dư 1 sợi)","HOÀN TẤT","","","",""
"221","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW50CA4","Dây cong khế 0.5","750W","45-47","5","19.50","","","","","11","Đã giao đủ (dư 6 sợi)","HOÀN TẤT","","","",""
"222","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW60CA4","Dây cong khế 0.6","750W","46-48","5","26.00","","","","","7","Đã giao đủ (dư 2sợi)","HOÀN TẤT","","","",""
"223","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW35FS","Dây Franco 0.35","750W","44-46","5","20.50","","","","","","","NGƯNG SX","","","",""
"224","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW50FS","Dây Franco 0.5","750W","46-48","5","45.00","","","","","6","Đã giao đủ : (dư 1 sợi)","HOÀN TẤT","","","",""
"225","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","CW70FS","Dây Franco 0.7","750W","44-46","3","58.95","","","","","","","NGƯNG SX","","","",""
"226","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","BW40FS","Lắc Franco 0.4","750W","15","5","11.00","","","","","5","Đã giao đủ","HOÀN TẤT","","","",""
"227","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","DD","BW70FS","Lắc Franco 0.7","750W","16","5","31.35","","","","","1","Đã giao ngày 24/07/2025","CHƯA HOÀN TẤT","","","",""
"228","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Kim Cương","750W","45-47","3","62.70","","","","","3","Đã giao đủ","HOÀN TẤT","","","",""
"229","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Xoáy","750W","45-47","3","62.70","","","","","","","NGƯNG SX","","","",""
"230","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","CBW4","Dây Bi : Size 4.0mm Khắc Chữ S Cong","750W","45-47","3","106.59","","","","","2","Đã giao ngày 24/07/2025","CHƯA HOÀN TẤT","","","",""
"231","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","CBW5","Dây Bi : Size 5.0mm Khắc Dưa Hấu","750W","45-47","3","138.88","","","","","","","NGƯNG SX","","","",""
"232","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","BBW4","Dây Bi : Size 4.0mm Khắc Dưa Hấu","750W","15.5 - 17","3","34.61","","","","","","","NGƯNG SX","","","",""
"233","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","BBW6","Lắc Bi : Size 6.0mm Chữ S Cong","750W","15.5 - 17","3","46.21","","","","","","","NGƯNG SX","","","",""
"234","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","PK750WKGN","Phụ kiện khóa giọt nước","750W","","20","7.40","","","","","","","NGƯNG SX","","","",""
"235","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/12]","BB","PK750WKCC","Phụ kiện khóa càng cua","750W","","20","12.20","","","","","","","NGƯNG SX","","","",""
"236","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW30CA1","Dây Chữ Cong Size 0.30mm","Bac92.5","42-44","5","26.80","","","","","","Chờ nấu chế NL","CHƯA HOÀN TẤT","","","KGN",""
"237","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW50CA1","Dây Chữ Cong Size 0.50mm","Bac92.5","46-48","5","24.10","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"238","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW50CA4","Dây Cong Khế Size 0.50mm","Bac92.5","46-48","5","24.10","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"239","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW80CA1","Dây Chữ Cong Size 0.80mm","Bac92.5","50-52","5","60.35","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"240","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW30CA4","Dây Cong Khế Size 0.30mm","Bac92.5","42-44","5","26.80","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"241","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW60CA4","Dây Cong Khế Size 0.60mm","Bac92.5","46-48","5","30.70","","","","","","Chờ nấu chế NL","CHƯA HOÀN TẤT","","","KGN",""
"242","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW70CA4","Dây Cong Khế Size 0.70mm","Bac92.5","50-52","5","53.10","","","","","","Đang thực hiện dập định hình","CHƯA HOÀN TẤT","","","KGN",""
"243","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW50CU","Dây Khoen Lật Size 0.50mm","Bac92.5","46-48","5","22.90","","","","","","Chờ nấu chế NL","CHƯA HOÀN TẤT","","","KGN",""
"244","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW60CU","Dây Khoen Lật Size 0.60mm","Bac92.5","46-48","5","22.90","","","","","","Hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"245","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW70CU","Dây Khoen Lật Size 0.70mm","Bac92.5","50-52","5","49.85","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"246","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW35FS","Dây Franco Vuông 0.35","Bac92.5","46-48","5","24.20","","","","","","Chờ nấu chế NL","CHƯA HOÀN TẤT","","","KGN",""
"247","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW50FS","Dây Franco Vuông 0.50","Bac92.5","46-48","5","24.20","","","","","","Đang thực hiện ghép dây","CHƯA HOÀN TẤT","","","KGN",""
"248","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW60FS","Dây Franco Vuông 0.60","Bac92.5","50-52","5","91.80","","","","","","Chờ nấu chế NL","CHƯA HOÀN TẤT","","","KGN",""
"249","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-BW70FS","Lắc Franco vuông 0.70mm","Bac92.5","16-18","5","37.00","","","","","","Hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"250","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW40HE","Dây Mì Dẹp Trơn 0.40","Bac92.5","46-48","5","25.85","","","","","","Đang thực hiện ra dây","CHƯA HOÀN TẤT","","","KGN",""
"251","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW60HE","Dây Mì Dẹp Trơn 0.60","Bac92.5","48-50","5","98.20","","","","","","Đang thực hiện dồn nén khít","CHƯA HOÀN TẤT","","","KGN",""
"252","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW30HT1","Dây Mì Dẹp Xoắn 0.30mm","Bac92.5","44-46","5","25.10","","","","","","Đã hoàn thành ra dây","CHƯA HOÀN TẤT","","","KGN",""
"253","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]","DD","SV-CW40HT1","Dây Mì Dẹp Xoắn 0.40mm","Bac92.5","46-48","5","37.45","","","","","","Đang thực hiện dồn nén khít","CHƯA HOÀN TẤT","","","KGN",""
"254","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]-02","BB","SV-CBW2.5","Dây Bi : Size 2.5mm Khắc Kim Cương","Bac92.5","46-48","2","23.60","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"255","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]-02","BB","SV-BBW2.5","Lắc Bi : Size 2.5mm Khắc Xoáy","Bac92.5","15-16","2","9.40","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"256","THÁNG 05","30/05/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/05/13]-02","BB","SV-GBW3.0","Vòng Bi 1 Tầng  : Size 3.0 mm Khắc Chữ S Cong","Bac92.5","48-50","2","12.80","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"257","THÁNG 05","30/05/2025","PKD SĨ","KH","Lực NT","[DHAG-25/05/14]","DD","CY30FS","Dây Franco 0.3","610Y","44-46-48","10","40.00","","","","","10","Đã giao đủ","HOÀN TẤT","","","",""
"258","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CY60CA4","DÂY CONG KHẾ 0.60","750Y","46-48","10","50.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"259","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CY50FS","DÂY FRANCO VUÔNG 0.50MM","750Y","46-48","10","90.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"260","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CY70FS","DÂY FRANCO VUÔNG 0.70MM","750Y","44-46","10","185.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"261","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CW60CA4","DÂY CONG KHẾ 0.60","750W","46-48","10","50.00","","","","","13","Đã giao ngày 21/05/2026","HOÀN TẤT","","","KGN",""
"262","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CW35FS","DÂY FRANCO VUÔNG 0.35","750W","44-46","10","40.00","","","","","8","Đã giao  ngày 12/05/2026","CHƯA GIAO ĐỦ","","","KGN",""
"263","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","DD","CW70FS","DÂY FRANCO VUÔNG 0.70","750W","44-46","10","185.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"264","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","GBY3.0","Vòng bi 2 tầng khắc chữ S cong","750Y","50-52","5","62.50","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"265","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","BBY2.53","Lắc bi 2.53 Khắc kiểu xoáy","750Y","16 - 17","4","21.20","","","","","4","Đã giao đủ","HOÀN TẤT","","","KGN",""
"266","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Kim Cương","750W","45-47","5","93.50","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"267","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Xoáy","750W","45-47","5","93.50","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"268","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","BBW2.54","Lắc bi : Size 2.5/4 Khắc kim cương","750W","16 - 17 - 18","6","39.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"269","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","BBW46","Lắc bi : Size 4/6 khắc dưa hấu","750W","16 - 17 - 18","6","51.60","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"270","THÁNG 06","04/06/2025","CH2","SR","SR","[DHAG-25/06/01]","BB","GBW3.0","Vòng bi 1 tầng khắc lồng đèn","750W","50-52","5","29.00","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"271","THÁNG 06","05/06/2025","PKD SĨ","KH","Quốc Bảo","[DHAG-25/06/02]","DD","CY40CA4","DÂY CONG KHẾ 0.40","680Y","45","10","27.00","","","","","14","Đã giao đủ (dư 4 sợi)","HOÀN TẤT","","","",""
"272","THÁNG 06","05/06/2025","PKD SĨ","KH","Quốc Bảo","[DHAG-25/06/02]","DD","CY40CA4","DÂY CONG KHẾ 0.40","680Y","36","10","21.50","","","","","13","Đã giao đủ (dư 3 sợi)","HOÀN TẤT","","","",""
"273","THÁNG 06","05/06/2025","PKD SĨ","KH","Quốc Bảo","[DHAG-25/06/02]","DD","CY35CA4","DÂY CONG KHẾ 0.35","680Y","36","10","17.50","","","","","18","Đã giao đủ (dư 8 sợi)","HOÀN TẤT","","","",""
"275","THÁNG 06","05/06/2025","PKD SĨ","KH","Quốc Bảo","[DHAG-25/06/02]","DD","CY60CA4","DÂY CONG KHẾ 0.60","680Y","45","5","25.00","","","","","7","Đã giao đủ (dư 2 sợi)","HOÀN TẤT","","","",""
"275","THÁNG 06","05/06/2025","PKD SĨ","KH","Quốc Bảo","[DHAG-25/06/02]","DD","CY50CA4","DÂY CONG KHẾ 0.50","680Y","45","10","33.50","","","","","10","Đã giao đủ","HOÀN TẤT","","","",""
"276","THÁNG 06","05/06/2025","PSX L2","SR","","[DHAG-25/06/03]","BB","B750W30CR","Bi rời 3.0, kiểu caro","750W","","53","4.24","","","","","53","Đã giao đủ","HOÀN TẤT","09/06/2025","","",""
"277","THÁNG 06","05/06/2025","PSX L2","SR","","[DHAG-25/06/03]","BB","B750W50CR","Bi rời 5.0, kiểu caro","750W","","6","1.2","","","","","6","Đã giao đủ","HOÀN TẤT","09/06/2025","","",""
"278","THÁNG 06","05/06/2025","PSX L2","SR","","[DHAG-25/06/03]","BB","B750W50CR","Bi rời 5.0, kiểu caro","750W","","59","11.8","","","","","59","Đã giao đủ","HOÀN TẤT","09/06/2025","","",""
"279","THÁNG 06","05/06/2025","PSX L2","SR","","[DHAG-25/06/03]","BB","B750Y50CS","Bi rời 5.0, kiểu chữ S","750Y","","6","1.2","","","","","6","Đã giao đủ","HOÀN TẤT","","","",""
"280","THÁNG 06","05/06/2025","PSX L2","SR","","[DHAG-25/06/03]","BB","B750Y50CR","Bi rời 5.0, kiểu caro","750Y","","6","1.2","","","","","6","Đã giao đủ","HOÀN TẤT","","","",""
"281","THÁNG 06","05/06/2025","PKD SĨ","KH","Bảo Tín Gold","[DHAG-25/06/04]","DD","CY40CA4","DÂY CONG KHẾ 0.40","610Y","38","5","11.3","","","","","5","Đã giao đủ","HOÀN TẤT","","","",""
"282","THÁNG 06","05/06/2025","PKD SĨ","KH","Bảo Tín Gold","[DHAG-25/06/04]","DD","CY40CA4","DÂY CONG KHẾ 0.40","610Y","36","5","10.75","","","","","5","Đã giao đủ","HOÀN TẤT","","","",""
"283","THÁNG 06","06/12/2025","PKD SĨ","KH","Hai Nho","[DHAG-25/06/05]","DD","CY70CA4","DÂY CONG KHẾ 0.70","680Y","50","5","45.00","","","","","6","Đã giao đủ (dư 1 sợi)","HOÀN TẤT","","","",""
"284","THÁNG 06","06/12/2025","PKD SĨ","KH","Hai Nho","[DHAG-25/06/05]","DD","CY70CA4","DÂY CONG KHẾ 0.70","680Y","55","5","49.50","","","","","6","Đã giao đủ (dư 1 sợi)","HOÀN TẤT","","","",""
"285","THÁNG 06","06/12/2025","PKD SĨ","KH","Kim Thanh ","[DHAG-25/06/06]","DD","BY40FS","LẮC FRANCO VUÔNG 0.40","680Y","11","10","18.30","","","","","10","Đã giao đủ","HOÀN TẤT","","","",""
"286","THÁNG 06","06/12/2025","PKD SĨ","KH","Kim Thanh ","[DHAG-25/06/06]","DD","BY50FS","LẮC FRANCO VUÔNG 0.50","680Y","13","5","14.40","","","","","8","Đã giao đủ (dư 3 sợi)","HOÀN TẤT","","","",""
"287","THÁNG 06","06/12/2025","PKD SĨ","KH","Kim Thanh ","[DHAG-25/06/06]","DD","BY50FS","LẮC FRANCO VUÔNG 0.50","680Y","11","5","12.15","","","","","8","Đã giao đủ (dư 3 sợi)","HOÀN TẤT","","","",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW40CA4","DÂY CONG KHÊ 0.40","PT900","44-46","5","16.94","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW50CA4","DÂY CONG KHẾ 0.50","PT900","45-47","5","30.03","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW60CA4","DÂY CONG KHẾ 0.60","PT900","46-48","5","40.04","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW35FS","DÂY FRANCO VUÔNG 0.35","PT900","44-46","5","31.57","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW50FS","DÂY FRANCO VUÔNG 0.50","PT900","46-48","5","69.30","","","","","5","Đã giao đủ","HOÀN TẤT","09/09/2025","","",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW70FS","DÂY FRANCO VUÔNG 0.70","PT900","44-46","3","90.78","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","BW40FS","LẮC FRANCO VUÔNG 0.40","PT900","15","5","16.94","","","","","5","Đã giao ngày 26/08/2025","HOÀN TẤT","26/08/2025","","",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","BW70FS","Lắc Franco vuông 0.70mm","PT900","16","5","48.28","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"","THÁNG 06","","PKD SĨ","SR","Chào hàng","[DHAG-25/06/08]","DD","CW60HE","DÂY MÌ DẸP TRƠN 0.60","PT900","48-50","3","76.88","","","","","","","CHƯA HOÀN TẤT","","","KGN",""
"297","THÁNG 06","13/06/2025","PKD SĨ","SR","Chào hàng ","[DHAG-25/06/09]","DD","CY30FR","DÂY FRANCO TRÒN 0.30","610Y","44-46","20","58.00","","","","","","","NGƯNG SX","","","",""
"298","THÁNG 06","13/06/2025","PKD SĨ","SR","Chào hàng ","[DHAG-25/06/09]","DD","CY35FR","DÂY FRANCO TRÒN 0.35","610Y","44-46","10","42.70","","","","","","","NGƯNG SX","","","",""
"308","THÁNG 06","13/06/2025","PKD SĨ","SR","Chào hàng ","[DHAG-25/06/09]","DD","CY50FR","DÂY FRANCO TRÒN 0.50","610Y","46-48","5","44.25","","","","","5","Đã giao đủ","HOÀN TẤT","","","",""
"309","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY35CA4","DÂY CONG KHẾ 0.35","610Y","36","20","35.00","","","","","","","NGƯNG SX","","","",""
"310","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY35CA4","DÂY CONG KHẾ 0.35","610Y","42-44","20","42.76","","","","","","","NGƯNG SX","","","",""
"311","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY40CA4","DÂY CONG KHẾ 0.40","610Y","44-46","30","82.05","","","","","41","Đã giao đủ( dư 11 sợi)","HOÀN TẤT","","","",""
"312","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY45CA4","DÂY CONG KHẾ 0.45","610Y","44-46","20","75.00","","","","","","","NGƯNG SX","","","",""
"313","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY50CA4","DÂY CONG KHẾ 0.50","610Y","45-47","20","69.96","","","","","21","Đã giao đủ (dư 1 sợi)","HOÀN TẤT","","","",""
"314","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY60CA4","DÂY CONG KHẾ 0.60","610Y","46-48","20","106.66","","","","","9","Đã giao ngày 08/08/2025","NGƯNG SX","","","",""
"315","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY70CA4","DÂY CONG KHẾ 0.70","610Y","46-48","10","86.40","","","","","13","Đã giao đủ (dư 3 sợi)","HOÀN TẤT","","","",""
"316","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY30SS","DÂY MÌ VUÔNG 0.30","610Y","44-46","20","61.80","","","","","11","Đã giao ngày 28/07/2025","NGƯNG SX","","","",""
"317","THÁNG 06","16/06/2025","PKD SĨ","SR","Chào hàng","[DHAG-25/06/10]","DD","CY35SS","DÂY MÌ VUÔNG 0.35","610Y","46-48","20","97.60","","","","","","","NGƯNG SX","","","",""
"318","THÁNG 06","19/06/2025","PKD SĨ","KH","Kim Kim Trân","[DHAG-25/06/11]","DD","CW60FS","DÂY FRANCO VUÔNG 0.60","750W","55","1","16.10","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
"319","THÁNG 06","19/06/2025","PKD SĨ","KH","Kim Kim Trân","[DHAG-25/06/11]","DD","CW70FS","DÂY FRANCO VUÔNG 0.70","750W","55","1","25.53","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
"320","THÁNG 06","19/06/2025","PKD SĨ","KH","Kim Kim Trân","[DHAG-25/06/11]","BB","GBW3-02","VÒNG XOẮN BI 3.0 2 TẦNG KIỂU XOÁY","750W","48","1","13.74","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
"321","THÁNG 06","19/06/2025","PKD SĨ","KH","Kim Kim Trân","[DHAG-25/06/11]","BB","GBW3-02","VÒNG XOẮN BI 3.0 2 TẦNG KIỂU XOÁY","750W","54","1","14.83","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
